"hotelid","outbounddeparturedatetime","inbounddeparturedatetime","countadults","countchildren","price","inbounddepartureairport","outboundarrivalairport","inboundarrivaldatetime","outbounddepartureairport","inboundarrivalairport","outboundarrivaldatetime","mealtype","oceanview","roomtype"
"576","2023-04-23T05:55:00+00:00","2023-04-27T07:50:00+00:00","3","0","2766","PMI","PMI","2023-04-27T10:35:00+00:00","HAM","HAM","2023-04-23T08:35:00+00:00","ALLINCLUSIVE","false","APARTMENT"
"426","2023-07-02T00:00:00+00:00","2023-07-08T00:00:00+00:00","2","0","1745","PMI","PMI","2023-07-08T08:45:00+00:00","CGN","CGN","2023-07-02T19:05:00+00:00","BREAKFAST","true","DOUBLE"
"426","2023-04-24T00:00:00+00:00","2023-04-28T00:00:00+00:00","2","0","1002","PMI","PMI","2023-04-28T11:30:00+00:00","FRA","FRA","2023-04-24T06:50:00+00:00","BREAKFAST","true","DOUBLE"
"284","2023-02-01T08:30:00+00:00","2023-02-05T11:45:00+00:00","2","0","3324","PMI","PMI","2023-02-05T21:40:00+00:00","PAD","PAD","2023-02-01T17:15:00+00:00","HALFBOARD","false","SUPERIOR"
"811","2023-07-29T00:00:00+00:00","2023-08-07T00:00:00+00:00","2","1","4353","PMI","PMI","2023-08-07T13:50:00+00:00","HAJ","HAJ","2023-07-29T21:30:00+00:00","ALLINCLUSIVE","false","DOUBLE"
"73","2023-05-23T00:00:00+00:00","2023-06-02T00:00:00+00:00","2","0","1881","PMI","PMI","2023-06-02T11:05:00+00:00","CGN","CGN","2023-05-23T22:00:00+00:00","NONE","false","DOUBLE"
"759","2023-05-23T00:00:00+00:00","2023-06-02T00:00:00+00:00","2","0","1422","PMI","PMI","2023-06-02T11:05:00+00:00","CGN","CGN","2023-05-23T22:00:00+00:00","NONE","false","STUDIO"
"423","2023-07-31T18:55:00+00:00","2023-08-06T07:10:00+00:00","2","0","1408","PMI","PMI","2023-08-06T10:05:00+00:00","BER","BER","2023-07-31T21:40:00+00:00","NONE","false","DOUBLE"
"693","2023-07-31T18:55:00+00:00","2023-08-06T07:10:00+00:00","2","0","2220","PMI","PMI","2023-08-06T10:05:00+00:00","BER","BER","2023-07-31T21:40:00+00:00","NONE","false","APARTMENT"
"411","2023-10-03T00:00:00+00:00","2023-10-12T00:00:00+00:00","3","2","4438","PMI","PMI","2023-10-12T20:30:00+00:00","FMM","FMM","2023-10-03T14:55:00+00:00","BREAKFAST","false","DOUBLE"
"442","2023-05-04T15:55:00+00:00","2023-05-07T09:20:00+00:00","3","0","1221","PMI","PMI","2023-05-07T11:40:00+00:00","DUS","DUS","2023-05-04T18:20:00+00:00","ALLINCLUSIVE","false","STUDIO"
"371","2023-07-17T04:45:00+00:00","2023-07-22T02:55:00+00:00","2","1","1290","PMI","PMI","2023-07-22T05:10:00+00:00","FRA","FRA","2023-07-17T06:50:00+00:00","NONE","false","APARTMENT"
"212","2023-07-11T00:00:00+00:00","2023-07-18T00:00:00+00:00","2","1","2102","PMI","PMI","2023-07-18T12:25:00+00:00","FMM","FMM","2023-07-11T22:55:00+00:00","BREAKFAST","false","ECONOMY"
"10","2023-07-18T00:00:00+00:00","2023-07-26T00:00:00+00:00","1","2","1832","PMI","PMI","2023-07-26T22:20:00+00:00","NUE","NUE","2023-07-18T19:50:00+00:00","NONE","false","APARTMENT"
"324","2023-07-18T00:00:00+00:00","2023-07-26T00:00:00+00:00","1","2","4323","PMI","PMI","2023-07-26T22:20:00+00:00","NUE","NUE","2023-07-18T19:50:00+00:00","BREAKFAST","false","FAMILY"
"644","2023-07-14T00:00:00+00:00","2023-07-21T00:00:00+00:00","2","0","1491","PMI","PMI","2023-07-21T11:20:00+00:00","SCN","SCN","2023-07-14T08:10:00+00:00","NONE","true","DOUBLE"
"532","2023-07-14T00:00:00+00:00","2023-07-21T00:00:00+00:00","2","0","1588","PMI","PMI","2023-07-21T11:20:00+00:00","SCN","SCN","2023-07-14T08:10:00+00:00","NONE","false","DOUBLE"
"493","2023-08-29T11:10:00+00:00","2023-09-05T07:15:00+00:00","2","0","1978","PMI","PMI","2023-09-05T10:00:00+00:00","BER","BER","2023-08-29T13:55:00+00:00","HALFBOARD","false","TRIPLE"
"687","2023-07-20T00:00:00+00:00","2023-08-02T00:00:00+00:00","3","2","6200","PMI","PMI","2023-08-02T10:20:00+00:00","CGN","CGN","2023-07-20T22:10:00+00:00","NONE","false","APARTMENT"
